duration,start,end,video_emotion,audio_emotion
1.92,0.0,1.92,Neutral,Fear
0.43999999999999995,1.92,2.36,Sad,Neutral
0.28000000000000025,2.36,2.64,Neutral,Neutral
0.19999999999999973,2.64,2.84,Sad,Neutral
0.040000000000000036,2.84,2.88,Neutral,Neutral
0.040000000000000036,2.88,2.92,Sad,Happy
0.040000000000000036,2.92,2.96,Happy,Neutral
0.040000000000000036,2.96,3.0,Fear,Neutral
0.2799999999999998,3.0,3.28,Sad,Happy
0.16000000000000014,3.28,3.44,Neutral,Sad
0.040000000000000036,3.44,3.48,Sad,Neutral
0.56,3.48,4.04,Neutral,Fear
0.040000000000000036,4.04,4.08,Sad,Neutral
0.040000000000000036,4.08,4.12,Neutral,Neutral
0.7599999999999998,4.12,4.88,Sad,Surprise
0.16000000000000014,4.88,5.04,Neutral,Sad
0.1200000000000001,5.04,5.16,Sad,Sad
0.2400000000000002,5.16,5.4,Neutral,Happy
0.08000000000000007,5.4,5.48,Sad,Happy
0.11999999999999922,5.48,5.6,Neutral,Neutral
0.16000000000000014,5.6,5.76,Sad,Fear
0.4800000000000004,5.76,6.24,Neutral,Surprise
2.24,6.24,8.48,Sad,Fear
1.5999999999999996,8.48,10.08,Neutral,Happy
